TOPIC;DESCRIPTION;LINK
General;;
;The critical role of strategic workforce planning in the age of AI;https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-critical-role-of-strategic-workforce-planning-in-the-age-of-ai 
;Intro & Tempus Walkthrough by Marc;https://valkeen.sharepoint.com/:v:/s/VKSharedProcesses/Ef88ycEMrGxCuoK McGCTj_wBLgp0Q1Z8P9fDfLlaSXADvw?e=xjy32p
;Tempus University;https://www.youtube.com/watch?v=S90uyxySeU8&list=PLYivXGs-R5AS9GdyhbC9RA3ZevqUYBhQp&index=1
;Case Studies;https://www.prosymmetry.com/case-studies 
;Valkeen short video webcasts (Marketing YouTube Playlist);https://www.youtube.com/playlist?list=PLMus9DSPI_0svRnSk_bcTpHtSamNPlK5- 
;;
Resource Management;;
;What is Resource Management? (YouTube Playlist);https://www.youtube.com/watch?v=Y-KgXgJgkHg&list=PLYivXGs-R5ARxXVhwLsolpg3a399x329q
;Feature Documentation - Resource Management;https://support.tempusresource.com/hc/en-us/sections/360008404534-Resource-Management 
;Common RM Use Cases;https://support.tempusresource.com/hc/en-us/sections/29463185259543-Resource-Manager-Use-Cases 
;Report Management (Walkthrough by Marc);2 - Reporting Overview.mp4
;Mastering Hybrid Team Planning: Overcoming Resource and Capacity Challenges;https://www.youtube.com/watch?v=OEZI5ZKhztI
;Team Resource;https://support.tempusresource.com/hc/en-us/sections/25700393128087-Team-Resource
;;
Project Management;;
;A Day in the life of a PM in Tempus Resource;https://www.youtube.com/watch?v=EGp-_f491hI 
;Feature Documentation - Project Management;https://support.tempusresource.com/hc/en-us/sections/360008493933-Project-Management
;PM Use Cases;https://support.tempusresource.com/hc/en-us/sections/31398381769111-Project-Manager-Use-Cases 
;Creating a Project Use Cases;https://support.tempusresource.com/hc/en-us/sections/31398762268183-Creating-a-Project-Use-Cases
;Comparing Projects Use Cases;https://support.tempusresource.com/hc/en-us/sections/31398820653847-Comparing-Projects-Use-Cases 
;;
Bulk Project Allocation;;
;1:1 Live Training Session (1h);To be scheduled
;Making Assignments: Bulk Project Allocation Flatgrid with Tempus Resource;https://www.youtube.com/watch?v=ZN8pvFPSzD0 
;Bulk Project Allocation Flatgrid Options;https://www.youtube.com/watch?v=IlfCjX4Z6rM 
;Best Practices for BPAFG Default Mode;https://support.tempusresource.com/hc/en-us/community/posts/30716236964375-Best-Practices-for-BPAFG-Default-Mode 
;Feature Documentation;https://support.tempusresource.com/hc/en-us/sections/4415443644439-Bulk-Project-Allocation-Flatgrid 
;;
Portfolio Management;;
;What If Analysis (Walkthrough by Marc);3 - What-If & Scenario Analysis-20230531_111339.mp4
;Strategic Portfolio Management in Three Easy Steps;https://www.youtube.com/watch?v=0563rDM-1LQ 
;Portfolio Planning Use Cases;https://support.tempusresource.com/hc/en-us/sections/31398406673687-Portfolio-Planning-Use-Cases 
;Maximizing Strategic Flow Throw Portfolio Capacity Planning with Scales Agile, Inc.;https://www.youtube.com/watch?v=Et6Cw8IZwLk
;Demand Planning for Strategic Forecasting with Tempus Resource;https://www.youtube.com/watch?v=NhCDn-2ROWQ
;Demand Planning Use Cases;https://support.tempusresource.com/hc/en-us/sections/31398454634519-Demand-Planning-Use-Cases
;Tempus What If Scenario Planning;https://support.tempusresource.com/hc/en-us/categories/4417922185623-Tempus-What-If-Scenario-Planning
;;
Consulting/Best Practices;;
;Resource Capacity Planning with Donna Fitzgerald (YouTube Playlist);https://www.youtube.com/watch?v=yNIvXmV0Qnc&list=PLYivXGs-R5AQ09hiQatYW0Cf8lpPbboj6 
;Best Practices in Forecasting and Capacity Planning Webcast;https://www.youtube.com/watch?v=V6UCO95iWgM 
;Pushing Resource Management Up the Slope of Enlightenment: A Change Centered Approach;https://www.youtube.com/watch?v=6JHn8Bjqp4g 
;Resources for Driving Adoption of Tempus Resource & Resource Management;https://support.tempusresource.com/hc/en-us/community/posts/31409082181911-Resources-for-Driving-Adoption-of-Tempus-Resource-Resource-Management 
