Phase;Woche;Tag;Aufgabe;Typ;Link;Status;Datum;Notizen
Phase 1;1;1-2;Email-Konto einrichten mit Signatur;Setup;;[ ];;
Phase 1;1;1-2;Microsoft Teams Zugang;Setup;;[ ];;
Phase 1;1;1-2;Shared Drive Access beantragen;Setup;;[ ];;
Phase 1;1;1-2;Antivirus installieren;Setup;;[ ];;
Phase 1;1;2-3;Valkeen Website durcharbeiten;Learning;https://www.valkeen.com;[ ];;
Phase 1;1;2-3;ProSymmetry Website studieren;Learning;https://www.prosymmetry.com;[ ];;
Phase 1;1;2-3;Tempus Resource EU Website (EN & DE);Learning;;[ ];;
Phase 1;1;3-5;Video: Intro & Tempus Walkthrough by Marc;Video;SharePoint;[ ];;
Phase 1;1;3-5;McKinsey Artikel: Strategic workforce planning in AI age;Reading;https://www.mckinsey.com/capabilities/people-and-organizational-performance/our-insights/the-critical-role-of-strategic-workforce-planning-in-the-age-of-ai;[ ];;
Phase 1;1;5;CHECKPOINT: Woche 1 Wissensabfrage;Checkpoint;;[ ];;
Phase 1;2;6-7;YouTube Playlist: What is Resource Management?;Video;https://www.youtube.com/watch?v=Y-KgXgJgkHg&list=PLYivXGs-R5ARxXVhwLsolpg3a399x329q;[ ];;
Phase 1;2;6-7;Feature Documentation: Resource Management;Reading;https://support.tempusresource.com/hc/en-us/sections/360008404534-Resource-Management;[ ];;
Phase 1;2;6-7;Common RM Use Cases;Reading;https://support.tempusresource.com/hc/en-us/sections/29463185259543-Resource-Manager-Use-Cases;[ ];;
Phase 1;2;8-9;Tempus University Videos (min. 5);Video;https://www.youtube.com/watch?v=S90uyxySeU8&list=PLYivXGs-R5AS9GdyhbC9RA3ZevqUYBhQp;[ ];;
Phase 1;2;9-10;Trial Environment Zugang einrichten;Praktisch;;[ ];;
Phase 1;2;9-10;Erste Navigation durch UI;Praktisch;;[ ];;
Phase 1;2;10;CHECKPOINT: Woche 2 Wissensabfrage;Checkpoint;;[ ];;
Phase 1;3;11-12;Video: A Day in the life of a PM;Video;https://www.youtube.com/watch?v=EGp-_f491hI;[ ];;
Phase 1;3;11-12;Feature Documentation: Project Management;Reading;https://support.tempusresource.com/hc/en-us/sections/360008493933-Project-Management;[ ];;
Phase 1;3;13-14;PM Use Cases lesen;Reading;https://support.tempusresource.com/hc/en-us/sections/31398381769111-Project-Manager-Use-Cases;[ ];;
Phase 1;3;13-14;Creating a Project Use Cases;Reading;https://support.tempusresource.com/hc/en-us/sections/31398762268183-Creating-a-Project-Use-Cases;[ ];;
Phase 1;3;13-14;Comparing Projects Use Cases;Reading;https://support.tempusresource.com/hc/en-us/sections/31398820653847-Comparing-Projects-Use-Cases;[ ];;
Phase 1;3;14-15;Case Study 1 analysieren;Reading;https://www.prosymmetry.com/case-studies;[ ];;
Phase 1;3;14-15;Case Study 2 analysieren;Reading;https://www.prosymmetry.com/case-studies;[ ];;
Phase 1;3;14-15;Case Study 3 analysieren;Reading;https://www.prosymmetry.com/case-studies;[ ];;
Phase 1;3;15;CHECKPOINT: Woche 3 Wissensabfrage;Checkpoint;;[ ];;
Phase 1;4;16-18;Check-in mit Aayushi;Meeting;;[ ];;
Phase 1;4;16-18;Check-in mit Marc;Meeting;;[ ];;
Phase 1;4;16-18;Fortnightly Team Meeting;Meeting;;[ ];;
Phase 1;4;19-20;Eigene Zusammenfassung erstellen (1-2 Seiten);Dokumentation;;[ ];;
Phase 1;4;19-20;Offene Fragen dokumentieren;Dokumentation;;[ ];;
Phase 1;4;19-20;Video: Report Management Walkthrough by Marc;Video;2 - Reporting Overview.mp4;[ ];;
Phase 1;4;20;YouTube: Valkeen short video webcasts;Video;https://www.youtube.com/playlist?list=PLMus9DSPI_0svRnSk_bcTpHtSamNPlK5-;[ ];;
Phase 1;4;20;CHECKPOINT: Phase 1 Abschlusstest (Tag 30);Checkpoint;;[ ];;
Phase 2;5-6;21-25;Video: Mastering Hybrid Team Planning;Video;https://www.youtube.com/watch?v=OEZI5ZKhztI;[ ];;
Phase 2;5-6;21-25;Team Resource Documentation;Reading;https://support.tempusresource.com/hc/en-us/sections/25700393128087-Team-Resource;[ ];;
Phase 2;5-6;26-30;PM Demo: Tempus UI Navigation;Demo-Prep;;[ ];;
Phase 2;5-6;26-30;PM Demo: Projekt erstellen (Attributes & Allocations);Demo-Prep;;[ ];;
Phase 2;5-6;26-30;PM Demo: Resources/Demand hinzufuegen RR Status;Demo-Prep;;[ ];;
Phase 2;5-6;26-30;PM Demo: PM Tile Views (Grid Gantt Kanban);Demo-Prep;;[ ];;
Phase 2;5-6;30-32;Testprojekt im Trial erstellen;Praktisch;;[ ];;
Phase 2;5-6;32-34;PM Demo intern praesentieren;Demo;;[ ];;
Phase 2;5-6;34;CHECKPOINT: Woche 6 - PM Demo Feedback;Checkpoint;;[ ];;
Phase 2;7-8;35-38;RM Demo: Resource Requests beantworten;Demo-Prep;;[ ];;
Phase 2;7-8;35-38;RM Demo: Individual Resource Profile;Demo-Prep;;[ ];;
Phase 2;7-8;35-38;RM Demo: RM Tile (Grid Net Availability);Demo-Prep;;[ ];;
Phase 2;7-8;38-40;RM Demo intern praesentieren;Demo;;[ ];;
Phase 2;7-8;35-40;Client Meeting 1 beiwohnen;Client;;[ ];;
Phase 2;7-8;35-40;Client Meeting 2 beiwohnen;Client;;[ ];;
Phase 2;7-8;35-40;CC in Email-Kommunikation;Client;;[ ];;
Phase 2;7-8;38-40;Erste Support-Emails (mit Review);Team Impact;;[ ];;
Phase 2;7-8;38-40;Template/Quick Reference Guide erstellen;Team Impact;;[ ];;
Phase 2;7-8;38-40;Feature Requests Tracking uebernehmen;Team Impact;;[ ];;
Phase 2;7-8;40;CHECKPOINT: Phase 2 Abschlusstest (Tag 60);Checkpoint;;[ ];;
Phase 3;9-10;41-45;RAR verstehen;Learning;;[ ];;
Phase 3;9-10;41-45;RAR2 verstehen;Learning;;[ ];;
Phase 3;9-10;41-45;Pivot Grid beherrschen;Learning;;[ ];;
Phase 3;9-10;41-45;Portfolio Planner nutzen;Learning;;[ ];;
Phase 3;9-10;41-45;Dashboard erstellen;Praktisch;;[ ];;
Phase 3;9-10;46-48;Video: What If Analysis Walkthrough by Marc;Video;3 - What-If & Scenario Analysis.mp4;[ ];;
Phase 3;9-10;46-48;Video: Strategic Portfolio Management;Video;https://www.youtube.com/watch?v=0563rDM-1LQ;[ ];;
Phase 3;9-10;46-48;Video: Demand Planning for Strategic Forecasting;Video;https://www.youtube.com/watch?v=NhCDn-2ROWQ;[ ];;
Phase 3;9-10;48-50;Portfolio Planning Use Cases;Reading;https://support.tempusresource.com/hc/en-us/sections/31398406673687-Portfolio-Planning-Use-Cases;[ ];;
Phase 3;9-10;48-50;Demand Planning Use Cases;Reading;https://support.tempusresource.com/hc/en-us/sections/31398454634519-Demand-Planning-Use-Cases;[ ];;
Phase 3;9-10;48-50;Tempus What If Documentation;Reading;https://support.tempusresource.com/hc/en-us/categories/4417922185623-Tempus-What-If-Scenario-Planning;[ ];;
Phase 3;9-10;50;What-If Szenario erstellen und vergleichen;Praktisch;;[ ];;
Phase 3;9-10;50;CHECKPOINT: Woche 10 Wissensabfrage;Checkpoint;;[ ];;
Phase 3;11-12;51-53;1:1 Live Training Session BPAFG;Training;Termin planen!;[ ];;
Phase 3;11-12;51-53;Video: Making Assignments BPAFG;Video;https://www.youtube.com/watch?v=ZN8pvFPSzD0;[ ];;
Phase 3;11-12;51-53;Video: BPAFG Options;Video;https://www.youtube.com/watch?v=IlfCjX4Z6rM;[ ];;
Phase 3;11-12;51-53;Best Practices BPAFG Default Mode;Reading;https://support.tempusresource.com/hc/en-us/community/posts/30716236964375-Best-Practices-for-BPAFG-Default-Mode;[ ];;
Phase 3;11-12;51-53;BPAFG Feature Documentation;Reading;https://support.tempusresource.com/hc/en-us/sections/4415443644439-Bulk-Project-Allocation-Flatgrid;[ ];;
Phase 3;11-12;54-56;BPAFG Default Mode ueben;Praktisch;;[ ];;
Phase 3;11-12;54-56;BPAFG RM Use Cases ueben;Praktisch;;[ ];;
Phase 3;11-12;54-56;BPAFG PM Use Cases ueben;Praktisch;;[ ];;
Phase 3;11-12;54-56;BPAFG New Assignment Mode ueben;Praktisch;;[ ];;
Phase 3;11-12;57-58;Admin: Data Sync verstehen;Learning;;[ ];;
Phase 3;11-12;57-58;Admin: Attribute Management;Learning;;[ ];;
Phase 3;11-12;57-58;Admin: View Management;Learning;;[ ];;
Phase 3;11-12;57-58;Admin: Snapshots;Learning;;[ ];;
Phase 3;11-12;57-58;Admin: Sheets;Learning;;[ ];;
Phase 3;11-12;59-60;YouTube: Resource Capacity Planning (Donna Fitzgerald);Video;https://www.youtube.com/watch?v=yNIvXmV0Qnc&list=PLYivXGs-R5AQ09hiQatYW0Cf8lpPbboj6;[ ];;
Phase 3;11-12;59-60;Video: Best Practices Forecasting and Capacity Planning;Video;https://www.youtube.com/watch?v=V6UCO95iWgM;[ ];;
Phase 3;11-12;59-60;Video: Pushing RM Up the Slope of Enlightenment;Video;https://www.youtube.com/watch?v=6JHn8Bjqp4g;[ ];;
Phase 3;11-12;59-60;Driving Adoption Resources;Reading;https://support.tempusresource.com/hc/en-us/community/posts/31409082181911-Resources-for-Driving-Adoption-of-Tempus-Resource-Resource-Management;[ ];;
Phase 3;11-12;60;CHECKPOINT: Phase 3 Abschlusstest (Tag 90);Checkpoint;;[ ];;
Post-90;13+;90+;Implementation Shadowing;Development;;[ ];;
Post-90;13+;90+;Video: Maximizing Strategic Flow with SAFe;Video;https://www.youtube.com/watch?v=Et6Cw8IZwLk;[ ];;
Post-90;13+;90+;Karrieregespraech mit Marc;Meeting;;[ ];;
